G04a_001,G04a_002,G04a_003,G04a_004,G04a_005,G04a_006,G04a_007,G04a_008,G04a_009,G04a_010
65430737,658.1,711.3,539.3,0,11.6,8,1.6,6,5.4
65430738,746.9,850.5,643.3,0,12.0,7,3.8,6,8.2
65430739,833.5,943.3,720.6,0,15.8,5,0.3,1,9.0
65430740,352.1,452.1,287.3,0,12.5,1,1.3,8,6.8
65430741,419.8,510.7,314.2,0,15.5,5,1.5,8,7.6
65430742,437.5,518.1,349.2,0,12.7,4,2.7,2,6.9
65430743,481.8,603.5,382.1,0,12.9,8,2.1,7,6.3
65430744,527.4,602.8,444.8,0,15.5,4,0.5,1,7.3
65430745,510.6,583.3,459.2,0,9.5,5,1.4,6,4.4
65430746,554.3,654.1,498.8,0,9.6,7,1.9,7,5.5
65430747,613.3,666.6,557.7,0,7.5,8,1.0,6,5.1
65430748,753.7,875.2,624.7,0,17.9,7,6.4,7,11.7
65430749,946.0,1182.4,844.4,0,28.2,7,6.8,7,15.0
65430750,347.9,461.5,290.7,0,11.6,5,0.9,8,7.8
65430751,345.2,454.1,302.5,0,11.0,8,1.5,1,6.8
65430752,364.7,460.8,318.4,0,10.1,1,3.1,5,6.4
65430753,415.6,552.8,337.7,0,13.0,8,2.2,1,6.9
65430754,471.4,590.4,377.9,0,13.7,8,1.6,3,7.9
65430755,505.7,622.3,408.9,0,13.9,7,1.3,8,7.3
65430756,589.2,710.0,507.2,0,13.0,5,2.2,6,8.1
65430757,635.2,686.8,558.2,0,9.4,6,1.2,6,4.8
65430758,747.5,859.5,646.8,0,15.0,7,7.3,7,10.6
65430759,984.8,1192.1,818.0,0,25.4,7,12.1,7,17.7
65430760,418.5,490.5,326.3,0,10.8,4,2.8,1,5.9
65430761,414.4,503.1,327.4,0,12.1,6,3.1,6,7.1
65430762,399.4,493.0,328.2,0,9.4,5,4.1,5,6.5
65430763,389.0,474.9,338.8,0,9.4,4,1.6,3,5.2
65430764,423.3,496.4,361.8,0,11.3,8,0.3,1,5.9
65430765,481.2,603.2,397.7,0,13.1,7,5.6,6,8.7
65430766,635.1,760.7,489.3,0,13.8,7,4.7,7,9.3
65430767,654.6,724.1,601.5,0,9.5,7,1.2,8,5.3
65430768,762.8,880.5,665.3,0,11.6,7,6.2,7,9.0
65430769,988.7,1250.8,807.2,0,28.8,8,13.9,7,20.5
65430770,427.9,471.8,369.4,0,6.2,2,1.7,1,3.6
65430771,450.8,523.7,370.0,0,9.0,6,0.2,1,5.5
65430772,476.6,551.8,386.6,0,7.7,5,1.2,4,5.0
65430773,426.3,501.1,368.3,0,10.2,4,2.0,5,5.8
65430774,453.9,533.3,384.0,0,9.7,5,2.3,6,6.1
65430775,496.0,550.2,436.0,0,9.5,5,0.8,4,4.2
65430776,540.9,620.6,468.8,0,10.8,8,1.5,5,6.8
65430777,629.0,737.0,534.8,0,11.2,8,4.9,7,7.7
65430778,722.2,837.1,626.0,0,16.0,8,2.3,7,8.5
65430779,873.0,1078.9,697.3,0,21.1,8,9.2,8,14.1
65430780,411.1,471.4,344.3,0,12.6,5,0.8,6,6.1
65430781,425.2,486.7,363.9,0,7.2,5,1.1,6,3.7
65430782,489.9,553.2,401.4,0,9.5,8,0.9,8,6.0
65430783,496.0,550.8,402.5,0,8.4,5,2.0,8,5.8
65430784,448.5,517.9,406.3,0,7.8,4,2.0,6,4.4
65430785,478.9,524.4,435.5,0,6.3,7,1.1,8,2.9
65430786,516.4,544.3,487.8,0,3.2,7,1.2,8,2.7
65430787,572.1,621.9,538.8,0,8.1,8,3.1,7,4.2
65430788,646.1,696.9,601.9,0,9.7,8,4.0,7,5.7
65430789,799.8,907.8,676.3,0,14.5,7,6.8,8,11.0
65430790,422.2,470.4,340.5,0,11.6,1,2.4,1,5.3
65430791,428.2,476.5,350.3,0,10.4,8,0.7,8,4.9
65430792,463.1,535.3,385.0,0,9.7,1,2.0,7,6.0
65430793,488.8,561.0,414.5,0,10.0,2,0.3,2,5.8
65430794,481.6,525.1,421.8,0,6.9,1,0.9,6,3.9
65430795,485.7,522.0,455.1,0,3.7,6,1.3,7,2.5
65430796,526.7,579.1,491.9,0,5.5,6,2.2,7,3.2
65430797,576.5,606.1,539.5,0,4.2,7,1.8,6,3.0
65430798,629.5,697.0,599.6,0,5.5,8,2.2,6,3.6
65430799,719.3,836.3,640.0,0,13.5,8,3.2,7,8.4
65431000,967.8,1130.1,799.8,0,23.6,8,5.5,4,14.5
65431001,1272.2,1539.4,1021.6,0,26.1,7,12.5,7,19.1
65431002,1477.1,1691.1,1219.1,0,26.1,1,11.1,1,19.7
65431003,1266.2,1546.8,1031.5,0,25.8,3,18.1,2,21.0
65431004,1110.1,1254.6,926.3,0,24.3,8,3.8,2,15.2
65431005,991.5,1220.4,766.0,0,30.1,2,3.6,2,18.7
65431006,857.4,1064.3,714.8,0,19.7,5,3.2,5,13.0
65431007,785.1,1037.9,669.4,0,30.2,4,3.9,1,19.3
65431008,814.3,1060.4,662.7,0,28.8,1,2.3,3,18.4
65431009,757.7,974.1,641.8,0,21.9,1,5.9,2,12.8
65431010,1059.3,1213.4,887.1,0,20.2,8,4.8,5,13.0
65431011,1152.6,1389.4,968.3,0,24.8,8,7.9,6,17.0
65431012,1257.0,1410.9,1135.2,0,21.6,4,4.4,4,12.9
65431013,1108.3,1279.8,974.7,0,21.4,4,7.7,3,13.5
65431014,976.6,1111.6,859.0,0,17.7,3,6.3,4,10.7
65431015,919.3,1094.9,787.1,0,15.1,5,5.4,4,10.3
65431016,930.0,1120.8,798.8,0,14.8,8,2.2,1,9.2
65431017,958.4,1121.2,732.5,0,24.2,4,2.9,8,11.4
65431018,753.7,993.9,634.3,0,32.4,4,3.3,3,17.0
65431019,646.5,730.9,614.9,0,11.5,5,1.6,2,5.9
65431020,1079.2,1184.6,942.1,0,17.1,7,4.1,1,9.6
65431021,1212.3,1396.4,1039.6,0,19.8,6,10.3,5,15.8
65431022,1428.8,1694.8,1222.9,0,30.0,7,16.1,6,22.8
65431023,1250.1,1508.7,1026.8,0,29.8,4,15.3,4,22.1
65431024,1145.9,1306.0,996.9,0,20.1,5,1.4,5,12.1
65431025,995.9,1191.8,852.0,0,18.1,3,7.8,4,13.7
65431026,945.9,1064.5,843.0,0,13.3,2,4.0,4,9.2
65431027,845.5,937.8,758.9,0,11.3,2,6.0,1,8.9
65431028,746.6,843.1,643.3,0,15.1,2,4.3,5,9.4
65431029,782.0,944.9,636.0,0,20.4,6,7.3,3,14.5
